$PNORC,041825,225311,49,-32.77,-32.77,-32.77,,46.34,225.0,C,100,94,125,,9,8,8,*33
$PNORC,041825,225311,50,-32.77,-32.77,-32.77,,46.34,225.0,C,100,94,125,,11,9,9,*02
$PNORC,041825,225311,51,-32.77,-32.77,-32.77,,46.34,225.0,C,102,94,125,,16,9,9,*06
$PNORC,041825,225311,52,-32.77,-32.77,-32.77,,46.34,225.0,C,102,94,125,,13,8,8,*00
$PNORC,041825,225311,53,-32.77,-32.77,-32.77,,46.34,225.0,C,100,94,125,,9,5,6,*3B
$PNORC,041825,225311,54,-32.77,-32.77,-32.77,,46.34,225.0,C,100,94,125,,8,0,0,*3E
$PNORI,4,Signature55_200299,3,54,20.00,10.00,0*48
$PNORS,041825,231311,00000000,3A4C0002,23.2,1541.9,215.1,-3.4,0.6,25.654,28.07,0,0*41
$PNORC,041825,231311,1,-0.04,-0.38,0.06,,0.38,186.8,C,189,187,187,,96,97,94,*2C
$PNORC,041825,231311,2,0.06,-0.27,0.03,,0.27,166.4,C,183,183,183,,95,96,97,*0C
$PNORC,041825,231311,3,0.06,-0.20,0.00,,0.21,164.1,C,174,173,174,,92,85,86,*02
$PNORC,041825,231311,4,-0.03,-0.13,-0.02,,0.14,194.1,C,168,167,166,,97,96,91,*01
$PNORC,041825,231311,5,0.01,-0.05,-0.03,,0.05,172.3,C,157,154,154,,90,90,83,*2C
$PNORC,041825,231311,6,0.01,0.03,-0.02,,0.04,19.4,C,151,149,150,,95,95,87,*35
$PNORC,041825,231311,7,0.07,0.04,-0.01,,0.08,59.3,C,149,145,146,,98,95,86,*37
$PNORC,041825,231311,8,0.02,0.07,-0.01,,0.07,17.4,C,145,144,144,,94,98,85,*31
$PNORC,041825,231311,9,-0.02,0.09,-0.01,,0.09,344.6,C,139,139,141,,93,92,77,*2E
$PNORC,041825,231311,10,-0.05,0.07,-0.01,,0.09,325.1,C,133,132,139,,94,93,69,*18
